,club_position,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle
5954,RDM,Medium/High,57.0,55.0,60.0,59.0,58.0,72.0,54,55,62,67,35,58,47,48,61,64,53,60,52,55,60,60,63,64,79,60,69,58,43,57,52,50,55,60,57
5955,RW,Medium/Medium,72.0,62.0,58.0,69.0,25.0,58.0,64,62,59,58,63,71,71,65,44,63,71,73,76,61,79,66,74,72,56,62,39,19,58,57,53,64,28,17,22
5956,LCM,Medium/Medium,72.0,63.0,63.0,62.0,61.0,70.0,58,61,59,66,50,60,55,53,64,60,72,72,77,63,70,68,56,73,67,66,75,61,57,64,58,58,60,63,62
5957,RW,Medium/Medium,77.0,58.0,44.0,65.0,27.0,59.0,29,63,65,53,32,66,39,25,28,68,78,76,64,59,63,57,77,68,66,51,26,16,63,63,65,57,35,18,18
5958,RWB,High/Medium,81.0,39.0,53.0,62.0,57.0,66.0,58,35,51,55,28,62,50,35,52,59,80,81,76,56,71,47,76,73,64,39,58,56,55,52,41,58,57,58,57
5959,LCM,Medium/Medium,68.0,57.0,61.0,63.0,58.0,66.0,52,57,47,65,54,61,58,51,63,63,68,68,71,62,78,58,54,84,62,56,55,60,58,63,49,59,57,61,59
5960,RCB,Medium/Medium,50.0,36.0,44.0,48.0,63.0,74.0,35,37,62,55,35,46,38,29,52,53,49,50,38,57,46,47,63,71,81,22,65,61,26,34,40,50,63,64,62
5961,RM,Medium/Medium,90.0,57.0,54.0,64.0,29.0,71.0,54,58,46,59,52,62,48,46,48,60,90,90,84,58,85,59,76,73,73,53,61,24,58,54,50,58,31,27,23
5962,CAM,Medium/Medium,72.0,58.0,61.0,64.0,52.0,56.0,52,56,49,64,48,62,55,60,62,63,73,71,75,61,77,62,63,66,53,61,47,49,62,65,51,47,53,53,52
5963,ST,Medium/Low,53.0,62.0,48.0,56.0,31.0,78.0,38,63,66,55,53,59,44,39,47,62,54,53,33,60,33,66,66,65,90,59,68,32,64,51,60,58,20,30,27
5964,LS,High/Medium,82.0,61.0,54.0,64.0,24.0,66.0,56,63,56,58,56,63,46,37,46,62,83,82,73,58,73,62,79,83,67,60,40,19,62,58,55,55,21,22,17
5965,LWB,High/Medium,74.0,48.0,54.0,61.0,58.0,66.0,59,45,49,54,42,62,54,48,51,58,73,75,70,59,66,53,62,71,67,51,59,59,57,55,49,58,59,60,60
5966,LB,High/Medium,66.0,33.0,54.0,62.0,59.0,64.0,63,29,53,59,31,62,45,44,42,63,67,65,67,58,64,34,72,59,68,35,58,56,53,48,39,54,61,61,62
5967,RS,High/Medium,72.0,61.0,46.0,61.0,25.0,79.0,35,62,63,57,53,60,59,40,39,63,70,73,68,58,54,64,77,73,82,55,77,22,64,43,67,58,20,21,19
5968,LB,Medium/Medium,73.0,52.0,60.0,63.0,58.0,71.0,62,53,54,62,49,66,43,47,55,59,74,73,62,51,70,52,56,72,74,51,64,56,57,64,45,60,59,58,59
5969,LS,Medium/Medium,56.0,64.0,48.0,63.0,23.0,63.0,36,65,61,56,52,61,47,35,43,64,66,47,69,62,67,67,67,70,64,58,51,20,68,53,74,62,15,22,13
5970,LDM,Medium/Medium,70.0,55.0,63.0,63.0,57.0,67.0,58,54,45,66,52,61,59,62,64,63,67,72,72,58,69,58,79,74,66,55,56,58,58,64,53,62,58,60,57
5971,LAM,Medium/Medium,75.0,57.0,61.0,64.0,54.0,65.0,53,56,49,65,51,62,59,56,64,63,74,76,79,61,70,57,62,76,61,59,62,56,60,63,57,59,51,58,54
5972,RW,Medium/Medium,82.0,52.0,58.0,64.0,62.0,61.0,61,53,58,59,48,64,56,35,55,63,81,82,75,59,65,56,60,67,59,47,59,61,64,62,38,59,60,64,63
5973,RW,Medium/Medium,67.0,63.0,56.0,62.0,24.0,68.0,57,64,62,60,46,63,57,33,49,62,66,68,61,67,51,66,67,69,77,61,44,18,66,58,63,63,29,14,15
5974,RW,High/Medium,89.0,55.0,57.0,61.0,24.0,59.0,56,59,39,59,38,60,62,61,48,59,90,89,75,60,59,62,31,65,66,45,40,32,60,58,47,61,19,20,24
5975,LCM,Medium/Medium,73.0,63.0,49.0,64.0,29.0,54.0,38,64,62,58,59,62,57,38,36,62,74,72,83,58,71,63,69,53,57,64,42,29,62,55,58,54,26,23,27
5976,RCB,Medium/Medium,53.0,32.0,48.0,48.0,63.0,67.0,50,28,68,63,37,35,28,28,52,60,54,52,63,56,49,42,68,62,70,27,65,60,31,28,42,57,62,63,62
5977,CAM,High/Medium,74.0,61.0,58.0,67.0,50.0,56.0,47,60,44,63,58,66,55,55,59,68,74,74,76,50,78,73,61,60,56,55,48,46,62,60,44,55,55,50,52
5978,LDM,Medium/Medium,58.0,57.0,61.0,63.0,57.0,63.0,46,58,58,69,47,62,52,47,65,68,63,54,62,61,61,62,49,64,66,55,56,52,55,65,55,54,62,59,44
5979,LCB,Medium/High,66.0,46.0,61.0,55.0,63.0,59.0,66,34,61,64,44,48,62,67,65,58,68,65,65,62,64,72,71,54,61,46,58,64,29,46,64,58,62,65,62
5980,ST,Medium/Medium,70.0,61.0,57.0,64.0,39.0,71.0,60,63,63,64,62,65,45,45,48,66,67,73,63,58,56,61,64,73,75,60,61,25,58,56,52,54,41,43,25
5981,RCB,Medium/Medium,60.0,22.0,35.0,42.0,62.0,71.0,27,17,56,52,26,28,18,19,42,52,55,64,46,58,63,31,67,62,80,22,62,64,23,18,22,60,62,64,61
5982,CB,Medium/Medium,49.0,26.0,37.0,46.0,65.0,67.0,28,19,72,52,31,40,26,25,41,55,51,48,35,58,45,41,53,61,78,23,49,62,19,24,33,55,64,67,58
5983,LCB,Medium/Medium,51.0,40.0,50.0,50.0,61.0,69.0,42,33,64,60,33,49,40,42,55,48,48,54,55,60,45,55,68,53,78,45,66,56,38,42,39,52,60,66,59
5984,LCM,Medium/Low,73.0,43.0,63.0,71.0,36.0,47.0,59,44,25,67,31,70,55,55,57,70,79,68,82,59,82,54,68,58,40,34,44,49,48,68,38,55,35,34,31
5985,RWB,Medium/Medium,78.0,32.0,45.0,63.0,54.0,60.0,55,35,44,55,25,62,32,31,29,62,78,78,73,60,74,22,60,77,55,31,53,56,59,35,35,52,50,59,57
5986,LM,Medium/Low,75.0,64.0,60.0,64.0,31.0,63.0,59,61,62,64,65,66,63,67,54,64,78,73,67,45,65,71,64,70,70,67,34,41,57,55,63,48,34,14,20
5987,RWB,Medium/Medium,77.0,43.0,53.0,61.0,56.0,70.0,57,33,42,57,22,60,36,42,52,57,78,77,78,58,72,61,79,77,66,56,71,58,48,50,29,44,55,58,58
5988,RCM,Medium/Medium,68.0,54.0,64.0,65.0,56.0,60.0,59,56,54,68,40,66,57,69,67,68,68,68,62,55,61,55,70,67,56,51,57,54,55,59,64,59,54,60,58
5989,RF,Medium/Low,73.0,60.0,57.0,71.0,31.0,55.0,56,62,43,59,44,70,65,57,52,69,77,69,87,57,86,64,49,65,57,61,41,27,52,58,48,56,37,25,25
5990,RDM,Medium/High,65.0,49.0,56.0,61.0,59.0,68.0,46,44,54,63,43,59,32,45,58,61,63,66,75,61,64,57,67,76,63,54,71,60,56,60,43,56,57,61,57
5991,LCM,Medium/Medium,62.0,47.0,65.0,67.0,55.0,54.0,61,32,60,69,45,69,67,64,65,69,65,60,69,59,62,61,52,52,60,62,44,54,55,60,59,55,45,62,61
5992,LCB,Low/High,55.0,28.0,36.0,43.0,64.0,69.0,28,21,51,44,26,36,29,31,40,49,54,55,47,56,53,39,69,62,74,30,67,63,28,32,44,48,64,68,66
5993,RB,Medium/Medium,74.0,55.0,62.0,63.0,48.0,50.0,61,50,48,66,50,61,64,65,58,66,74,74,70,50,71,60,52,59,46,62,47,49,58,57,55,48,46,48,47
5994,LWB,High/Medium,76.0,44.0,53.0,60.0,57.0,58.0,61,39,52,53,37,59,54,48,48,58,79,73,74,54,81,51,88,78,50,48,46,56,52,50,49,43,57,58,56
5995,RCB,Medium/Medium,63.0,29.0,48.0,54.0,60.0,67.0,27,30,53,61,27,51,28,26,58,57,62,64,57,60,58,30,88,53,67,24,81,64,36,47,39,51,60,60,57
5996,LCM,Medium/Medium,64.0,56.0,62.0,61.0,62.0,62.0,55,54,61,67,42,61,57,47,66,63,63,65,60,60,57,61,61,57,63,57,66,61,58,64,54,59,60,64,64
5997,RDM,Medium/Low,77.0,57.0,58.0,70.0,33.0,54.0,52,58,39,63,58,70,57,42,53,65,76,77,90,57,89,60,67,80,42,54,46,25,56,61,40,54,34,35,29
5998,RW,Medium/High,87.0,61.0,55.0,68.0,31.0,56.0,54,63,56,59,56,65,52,45,46,64,89,85,90,58,87,61,79,72,49,57,49,25,63,60,61,59,29,31,26
5999,LCB,Medium/Medium,54.0,34.0,47.0,48.0,62.0,73.0,34,28,65,58,35,42,30,35,58,58,52,55,43,56,40,52,50,69,82,28,62,59,30,38,40,52,60,65,62
6000,RM,Medium/High,72.0,41.0,55.0,59.0,57.0,65.0,62,36,52,56,49,56,63,34,53,58,71,73,67,58,77,52,63,66,63,38,67,56,42,51,41,55,55,60,64
6001,LCB,Medium/Medium,64.0,34.0,49.0,46.0,61.0,74.0,54,26,64,58,30,39,34,27,45,59,52,73,36,57,45,53,63,59,86,32,64,57,31,40,40,43,60,63,58
6002,LWB,Medium/Medium,73.0,62.0,55.0,63.0,43.0,58.0,56,63,58,60,55,63,53,28,49,61,73,73,67,62,79,63,57,70,60,60,39,40,62,57,66,45,41,43,39
6003,ST,High/Medium,69.0,63.0,50.0,62.0,28.0,67.0,41,69,61,51,53,62,59,41,54,63,69,69,54,63,63,57,62,60,72,59,66,26,59,55,57,61,24,23,24
6004,LCM,Medium/Medium,73.0,53.0,60.0,67.0,45.0,52.0,52,56,44,66,51,66,58,54,56,65,74,73,77,60,81,55,59,68,42,43,54,48,62,62,56,65,36,52,44
6005,RS,Medium/Medium,77.0,61.0,51.0,63.0,21.0,58.0,47,65,56,57,52,61,48,45,43,63,75,79,74,59,68,62,57,65,63,52,39,14,63,51,62,56,18,18,15
6006,RDM,Medium/Low,81.0,47.0,59.0,66.0,44.0,59.0,57,43,40,66,34,63,44,40,63,64,82,80,83,56,83,58,67,72,59,44,43,45,51,55,52,55,43,44,46
6007,RB,Medium/Medium,66.0,46.0,58.0,57.0,62.0,66.0,61,45,63,60,32,54,48,46,56,56,67,65,65,56,75,50,75,65,65,48,66,61,49,56,35,57,62,63,61
6008,LW,High/High,74.0,61.0,49.0,63.0,34.0,66.0,42,64,60,54,54,61,49,44,41,62,77,71,74,62,75,63,78,73,67,56,53,28,64,55,56,58,35,32,26
6009,LCB,Medium/High,64.0,34.0,56.0,56.0,61.0,62.0,41,32,58,65,30,47,32,36,66,61,65,63,69,59,83,40,80,56,63,29,61,61,38,58,39,60,60,63,62
6010,CDM,Medium/Medium,67.0,41.0,54.0,57.0,61.0,66.0,47,31,59,63,37,50,33,37,58,60,66,68,70,62,70,58,65,67,64,48,70,60,31,50,43,51,61,62,63
6011,LCM,Medium/High,69.0,54.0,60.0,61.0,61.0,74.0,52,53,58,63,40,62,60,65,62,63,68,69,46,61,64,58,68,76,76,56,66,60,62,62,44,57,63,61,60
6012,RCM,Medium/Medium,64.0,57.0,63.0,64.0,50.0,56.0,56,55,37,66,52,59,62,50,66,66,68,61,77,62,69,60,48,65,51,58,59,56,59,66,63,69,47,55,48
6013,LCB,High/Medium,71.0,41.0,60.0,61.0,58.0,59.0,66,35,53,64,34,55,47,45,56,65,72,70,72,52,75,55,72,55,57,37,65,57,50,57,44,60,55,62,60
6014,RWB,High/Medium,76.0,39.0,56.0,60.0,55.0,63.0,63,39,50,59,25,58,45,33,56,60,77,75,73,55,71,42,65,80,61,36,48,55,56,51,37,53,56,56,53
6015,LS,Medium/Medium,72.0,60.0,59.0,63.0,56.0,74.0,54,61,55,64,48,62,49,42,63,64,71,72,64,62,75,65,69,83,74,55,64,56,62,59,51,56,56,57,55
6016,CAM,Medium/Medium,68.0,60.0,53.0,65.0,42.0,60.0,47,65,53,64,37,62,31,29,45,67,71,65,75,69,74,60,59,66,56,55,61,41,61,57,56,45,37,42,45
6017,RB,Medium/Medium,72.0,22.0,46.0,56.0,62.0,69.0,51,16,58,54,21,54,30,15,48,55,71,72,68,58,67,37,77,67,71,23,64,61,24,37,18,48,63,64,62
6018,RS,Medium/Medium,46.0,62.0,47.0,53.0,31.0,78.0,42,68,71,58,59,55,51,39,34,58,40,51,36,60,33,64,63,68,91,49,60,22,68,41,57,55,26,31,19
6019,RCB,Medium/Medium,67.0,36.0,53.0,55.0,62.0,67.0,41,31,64,60,32,55,35,38,58,57,67,67,57,55,50,50,73,60,75,31,55,62,35,57,43,50,62,62,63
6020,ST,Medium/Low,70.0,62.0,47.0,61.0,21.0,59.0,35,63,63,56,55,62,47,34,36,58,71,70,72,58,63,70,73,49,67,53,46,16,64,57,62,53,15,16,22
6021,LW,Medium/Medium,77.0,51.0,54.0,69.0,28.0,48.0,57,56,33,56,48,68,53,44,47,67,78,77,89,52,87,46,65,68,43,48,32,24,53,54,45,50,35,22,24
6022,RW,Medium/Low,73.0,56.0,61.0,69.0,41.0,50.0,53,54,42,62,53,68,69,54,63,65,79,68,87,56,80,67,44,55,49,53,48,38,54,67,53,59,40,43,44
6023,LM,Medium/Medium,77.0,44.0,55.0,67.0,29.0,52.0,55,42,39,60,40,66,48,50,49,65,80,75,79,62,75,47,60,71,48,41,35,27,58,54,55,52,28,27,36
6024,RCM,High/Medium,67.0,59.0,67.0,67.0,37.0,49.0,57,59,37,72,49,66,57,72,66,68,65,68,73,46,73,57,47,67,45,60,37,29,65,68,57,68,32,45,39
6025,RWB,High/High,81.0,49.0,49.0,60.0,55.0,57.0,57,50,35,51,37,59,46,38,43,55,80,82,75,55,77,54,70,81,52,44,38,57,52,47,47,52,58,58,57
6026,LWB,Medium/Medium,71.0,39.0,57.0,62.0,55.0,69.0,65,44,54,66,35,62,41,38,60,64,70,72,64,56,61,32,73,73,70,32,59,55,56,41,43,45,52,57,54
6027,RCM,Medium/Medium,65.0,51.0,57.0,60.0,61.0,60.0,47,55,45,64,40,55,46,56,60,62,66,64,65,58,77,53,75,73,56,46,52,65,51,56,46,60,64,62,60
6028,RW,Medium/Medium,64.0,60.0,62.0,67.0,35.0,61.0,62,59,53,63,61,68,64,58,58,68,65,63,68,58,66,61,57,68,69,61,35,32,60,64,57,61,36,34,26
6029,LCB,Medium/Medium,54.0,37.0,46.0,40.0,59.0,78.0,39,27,63,59,33,33,31,32,55,43,52,55,52,48,50,62,71,56,90,34,78,58,35,33,39,43,58,60,57
6030,LCM,Medium/Low,72.0,55.0,63.0,64.0,50.0,58.0,58,52,41,66,43,63,64,56,64,65,74,71,72,62,57,61,56,69,53,56,56,51,59,64,54,58,46,55,51
6031,LM,Medium/Medium,75.0,39.0,55.0,61.0,58.0,67.0,59,30,55,58,34,61,48,52,56,58,73,77,69,59,68,52,65,77,69,48,52,54,53,47,31,59,56,62,58
6032,LCB,Medium/Medium,56.0,23.0,36.0,38.0,63.0,70.0,20,16,62,57,25,20,21,28,27,54,57,56,49,55,49,36,71,62,78,23,60,58,24,27,33,44,65,64,63
6033,LDM,Medium/Medium,64.0,43.0,57.0,60.0,60.0,71.0,51,38,49,62,35,57,43,41,61,63,66,62,68,58,68,57,72,83,71,38,56,61,52,61,52,48,60,62,58
6034,RCM,Medium/Medium,66.0,57.0,58.0,65.0,33.0,63.0,48,59,33,60,39,66,61,62,57,62,64,67,76,61,69,52,52,71,66,60,48,22,60,65,56,52,32,39,41
6035,RCM,High/High,78.0,56.0,58.0,64.0,63.0,75.0,54,56,58,64,48,63,49,47,59,61,79,78,72,63,72,55,56,85,74,58,68,62,62,58,46,59,63,64,64
6036,LCB,Medium/Medium,55.0,29.0,43.0,47.0,62.0,71.0,32,30,60,54,28,43,26,22,50,50,56,55,40,59,54,34,72,65,76,20,64,61,39,41,29,53,62,64,62
6037,RB,Medium/High,71.0,44.0,58.0,58.0,61.0,64.0,56,42,48,66,29,52,49,46,59,65,70,72,65,54,63,55,62,72,62,45,59,60,32,48,45,59,62,64,63
6038,RB,Medium/Medium,78.0,57.0,59.0,61.0,56.0,67.0,61,55,52,60,58,61,57,53,56,59,77,78,71,58,65,63,88,72,66,59,57,56,57,58,51,59,56,57,58
6039,LCM,Medium/Medium,62.0,55.0,55.0,61.0,59.0,70.0,41,61,49,64,40,62,32,37,63,62,62,62,61,62,61,44,81,68,72,58,64,63,61,57,43,47,58,60,56
6040,RCM,High/High,62.0,52.0,60.0,63.0,63.0,68.0,48,50,52,68,52,62,56,48,64,65,64,60,60,60,65,62,62,78,65,48,63,63,58,60,46,65,65,65,62
6041,RCB,Medium/Medium,67.0,25.0,43.0,49.0,62.0,69.0,34,22,59,55,29,43,32,26,40,51,66,68,51,59,65,34,82,61,73,20,64,61,35,39,30,52,62,63,62
6042,CB,Medium/Medium,62.0,44.0,56.0,55.0,61.0,70.0,46,41,59,64,33,55,42,28,58,60,53,69,47,57,48,53,67,65,76,46,62,58,45,61,38,54,63,64,57
6043,LB,Medium/Medium,75.0,37.0,51.0,57.0,57.0,63.0,60,33,52,55,31,58,43,45,42,58,77,74,60,60,42,42,60,73,62,36,54,57,59,46,40,53,58,59,57
6044,LCM,High/High,61.0,61.0,59.0,60.0,59.0,73.0,50,63,51,64,44,60,48,41,63,63,60,62,54,58,55,64,73,86,71,58,62,59,62,62,54,62,60,61,59
6045,RCM,Medium/Medium,64.0,56.0,63.0,64.0,53.0,51.0,60,60,42,70,50,60,50,50,62,65,63,65,73,60,83,65,56,62,49,39,40,70,58,62,52,55,35,61,60
6046,LB,High/Medium,83.0,31.0,52.0,59.0,58.0,58.0,56,32,48,58,25,60,28,31,54,59,82,84,66,52,54,34,74,70,56,22,46,56,54,49,32,55,57,62,60
6047,LCB,Medium/Medium,69.0,31.0,46.0,57.0,61.0,64.0,53,30,59,55,28,59,34,34,35,54,72,67,64,56,64,26,67,71,65,33,54,61,49,39,43,43,57,65,66
6048,RW,High/High,83.0,58.0,56.0,66.0,24.0,57.0,57,60,43,61,51,66,40,70,46,66,87,79,81,59,68,70,39,51,65,48,50,16,56,53,49,49,19,29,21
6049,LB,High/Medium,80.0,58.0,56.0,64.0,56.0,64.0,61,59,55,58,55,63,54,34,51,63,79,81,73,55,74,58,77,74,61,56,57,55,59,59,58,52,55,57,58
6050,RW,Medium/Medium,93.0,54.0,50.0,64.0,36.0,60.0,57,53,52,52,49,63,53,35,39,60,93,93,88,52,77,56,72,67,57,53,58,33,60,52,52,47,33,35,35
6051,LCB,Medium/High,33.0,30.0,48.0,35.0,62.0,72.0,37,30,64,62,30,28,33,35,59,37,32,34,34,53,53,31,80,54,82,29,67,65,32,31,34,55,60,61,59
6052,LCM,Medium/Medium,67.0,52.0,60.0,60.0,55.0,60.0,48,43,46,66,56,54,39,47,67,66,66,68,70,56,67,63,62,72,58,58,49,67,58,66,46,61,53,55,49
6053,LCM,High/Medium,71.0,58.0,60.0,63.0,57.0,74.0,48,57,60,67,53,63,51,46,62,64,69,72,65,63,52,66,58,75,78,54,65,56,62,64,48,62,58,58,52
6054,RS,High/Medium,65.0,63.0,48.0,59.0,26.0,64.0,34,65,68,53,40,55,53,42,49,61,63,66,65,60,64,66,68,66,68,60,50,22,68,51,67,57,26,17,16
6055,LWB,High/Medium,73.0,28.0,52.0,55.0,57.0,59.0,56,23,49,56,25,54,53,42,48,55,73,73,59,56,71,31,60,79,52,28,53,66,51,48,39,47,54,56,57
6056,LCB,Low/High,46.0,25.0,35.0,41.0,64.0,71.0,23,20,59,49,24,33,26,27,32,48,54,40,47,56,41,33,75,63,80,26,58,63,28,29,37,46,63,67,63
6057,RWB,High/Medium,84.0,43.0,55.0,66.0,54.0,60.0,60,39,44,57,44,64,55,35,53,62,84,84,83,58,79,55,76,69,55,36,58,55,56,55,35,60,55,56,54
6058,RB,Medium/Medium,67.0,40.0,48.0,55.0,62.0,66.0,55,38,57,49,26,51,48,24,41,59,66,68,49,58,68,46,75,68,65,44,62,61,44,48,33,65,59,66,63
6059,LW,Medium/Medium,73.0,57.0,63.0,66.0,54.0,64.0,58,55,52,65,56,64,62,55,65,65,70,75,74,57,76,64,51,70,66,56,56,54,60,64,53,68,53,55,53
6060,RB,High/High,75.0,48.0,60.0,66.0,57.0,54.0,62,48,37,66,44,68,44,41,60,63,73,76,73,60,71,48,61,60,57,46,38,55,62,58,49,50,60,62,59
6061,RCM,Medium/High,64.0,49.0,53.0,56.0,60.0,72.0,41,50,58,62,39,54,45,32,60,61,65,64,56,60,46,55,67,82,74,47,57,59,46,53,44,54,61,61,57
6062,ST,High/Medium,85.0,61.0,54.0,65.0,32.0,72.0,57,62,54,56,53,65,53,35,41,63,84,85,73,59,63,62,74,73,77,57,60,31,62,62,62,62,28,30,28
6063,LF,Medium/Low,83.0,61.0,55.0,67.0,28.0,60.0,53,63,55,60,62,67,56,38,49,62,85,82,83,60,77,61,77,66,61,57,47,25,62,57,56,61,25,25,21
6064,ST,Medium/Medium,66.0,61.0,47.0,62.0,36.0,67.0,35,64,67,54,54,63,49,46,46,64,68,64,61,57,58,57,62,72,73,57,48,33,63,47,64,53,30,34,36
6065,LCB,Medium/Medium,71.0,28.0,42.0,45.0,63.0,71.0,47,22,65,52,25,38,35,19,38,52,65,75,45,59,52,42,59,60,84,31,57,58,25,32,22,48,61,66,64
6066,RCM,Medium/Medium,69.0,52.0,59.0,68.0,49.0,55.0,46,47,41,66,46,65,47,44,62,67,70,69,77,59,89,59,52,69,48,58,58,52,60,64,49,63,47,53,47
6067,RM,Medium/Medium,80.0,63.0,56.0,65.0,28.0,56.0,66,65,70,59,53,67,44,52,51,63,81,80,72,52,81,61,62,75,58,64,25,23,55,47,61,49,21,28,20
6068,RM,Medium/Medium,72.0,62.0,60.0,62.0,41.0,66.0,58,61,59,63,55,60,59,63,57,59,75,70,73,62,70,66,65,73,70,62,46,35,61,59,64,58,46,36,33
6069,CM,Low/Medium,59.0,35.0,53.0,51.0,58.0,72.0,33,31,38,65,37,40,38,37,59,58,64,55,61,57,75,31,69,77,72,42,68,59,55,55,39,60,57,63,60
6070,LCB,Medium/Medium,58.0,35.0,41.0,51.0,65.0,66.0,28,30,67,44,29,55,26,32,43,46,57,58,47,56,55,48,71,59,70,33,63,58,45,54,38,52,71,64,62
6071,CAM,High/Low,79.0,59.0,60.0,62.0,32.0,60.0,61,58,49,61,49,59,55,68,59,62,85,74,79,51,76,56,65,62,63,63,49,35,59,59,69,56,24,32,31
6072,RS,High/Low,57.0,61.0,50.0,60.0,42.0,64.0,35,64,69,65,50,59,41,31,45,63,55,58,54,60,57,55,65,52,71,58,59,32,68,49,72,58,44,40,34
6073,RW,Medium/Medium,70.0,59.0,56.0,65.0,31.0,53.0,56,62,36,59,40,65,58,45,48,67,68,71,71,52,64,63,45,54,60,56,35,33,63,58,49,61,31,29,23
6074,RS,High/Medium,82.0,64.0,58.0,68.0,35.0,47.0,52,65,47,63,55,67,69,65,53,65,85,80,84,54,85,66,30,36,48,64,63,32,62,56,65,60,28,43,24
6075,RW,Medium/Low,68.0,61.0,51.0,62.0,31.0,65.0,46,67,60,57,49,61,48,47,36,60,67,69,72,68,72,61,75,71,59,51,70,33,63,59,60,50,22,32,25
6076,RW,Medium/Medium,74.0,59.0,53.0,74.0,32.0,33.0,42,64,39,56,53,74,57,47,47,72,78,71,90,53,91,61,50,32,30,52,39,24,49,62,53,67,39,28,36
6077,LM,Medium/Medium,75.0,61.0,47.0,64.0,29.0,60.0,36,64,58,59,60,65,36,32,35,63,72,78,63,63,65,64,58,70,65,50,33,24,63,54,59,64,20,32,29
6078,RS,Medium/Medium,70.0,54.0,62.0,66.0,47.0,50.0,57,58,46,66,41,67,51,53,64,66,66,74,62,57,72,51,55,55,47,51,50,49,60,62,48,62,44,50,48
6079,RCB,Low/High,50.0,38.0,41.0,42.0,64.0,68.0,28,32,63,45,34,33,30,36,38,43,46,54,54,55,66,48,80,62,72,42,61,63,51,52,33,61,63,65,65
6080,RDM,Medium/Medium,60.0,56.0,59.0,61.0,50.0,60.0,39,60,44,68,34,62,45,36,65,63,58,62,61,54,56,47,53,65,64,61,43,56,63,66,46,47,37,64,37
6081,RCB,Medium/Medium,61.0,40.0,46.0,52.0,62.0,74.0,39,32,60,49,33,47,34,40,56,56,55,66,60,61,49,61,70,68,85,39,55,64,42,45,46,57,62,61,62
6082,LB,High/Medium,76.0,51.0,58.0,63.0,58.0,60.0,61,53,46,58,36,61,54,40,57,58,81,71,80,60,83,53,57,76,56,49,53,57,58,61,49,58,63,59,55
6083,LM,Medium/Medium,73.0,56.0,58.0,62.0,35.0,55.0,59,57,38,61,48,61,57,43,51,62,74,72,67,55,66,55,49,62,56,56,46,36,64,62,45,58,38,35,25
6084,LCM,Medium/High,65.0,46.0,58.0,63.0,58.0,69.0,44,40,51,66,45,61,45,42,64,64,69,62,67,58,68,55,70,74,69,44,61,62,58,61,56,63,60,57,55
6085,RM,High/Medium,76.0,60.0,56.0,65.0,52.0,55.0,58,59,47,59,54,65,57,53,52,63,76,76,76,56,73,65,55,66,55,60,43,51,57,54,58,59,55,53,46
6086,RM,High/Medium,69.0,46.0,58.0,66.0,40.0,51.0,57,43,45,64,36,71,50,38,55,64,70,69,61,58,75,52,57,60,42,46,60,43,63,60,37,51,35,40,48
6087,RB,High/Medium,69.0,36.0,48.0,58.0,61.0,52.0,58,32,61,57,29,49,34,36,45,64,74,65,73,66,69,42,60,63,51,37,41,55,42,30,48,62,65,64,55
6088,RCB,High/Medium,59.0,34.0,45.0,52.0,61.0,75.0,26,32,57,57,22,48,21,27,63,53,62,56,50,60,54,43,77,73,81,35,60,64,31,40,30,69,60,63,59
6089,CM,Medium/Medium,66.0,47.0,59.0,65.0,56.0,62.0,48,43,52,66,42,64,46,39,63,65,68,65,64,61,74,54,69,68,59,45,60,61,63,64,45,68,57,55,53
6090,LM,High/Medium,78.0,52.0,59.0,63.0,25.0,43.0,62,56,39,61,44,63,52,42,56,63,81,75,78,54,68,52,33,52,41,45,38,21,55,61,57,46,23,24,25
6091,RCM,High/Medium,73.0,60.0,58.0,63.0,60.0,57.0,38,58,55,64,60,60,62,64,57,65,76,71,65,62,73,68,59,79,50,55,48,59,61,66,55,60,60,64,58
6092,RCM,High/Medium,57.0,60.0,60.0,61.0,60.0,70.0,56,60,65,65,48,61,57,52,61,65,54,59,52,60,54,65,74,80,64,56,70,58,64,58,65,60,56,62,62
6093,RB,High/Medium,86.0,40.0,57.0,63.0,55.0,64.0,60,36,50,61,29,64,61,28,45,62,85,86,69,51,65,57,61,72,62,29,61,55,52,60,51,58,52,60,57
6094,LCB,Low/High,59.0,24.0,43.0,51.0,62.0,72.0,20,18,66,55,20,47,29,21,48,54,55,63,53,58,44,37,67,61,81,23,65,58,28,48,39,61,62,64,56
6095,LB,Medium/Medium,77.0,40.0,50.0,59.0,58.0,62.0,58,43,48,57,27,59,44,30,42,57,78,77,71,55,64,46,52,66,63,28,56,60,46,42,40,48,60,58,58
6096,LCB,Medium/Medium,63.0,31.0,50.0,53.0,63.0,64.0,56,18,57,54,27,51,51,28,49,56,62,63,49,63,54,57,61,48,73,34,63,65,30,43,36,47,64,63,62
